Name,PredDNN,OldRating
Auf der Walz,6.817529,5.53297
Yummy Yummy Pancake,6.0714674,5.48779
Clusterfight!,6.0204782,5.52187
Rhett & Link's We're Still Good Game,6.0353937,5.50238
Imperial Tide: The Great War 1914-1918,7.2600927,5.60447
Geared: Build Your Bike,6.269578,5.49699
Rescue Polar Bears,7.144307,5.5655
Leuthen: Frederick's Greatest Victory,7.021188,5.6033
Castle Dash,6.4542685,5.49517
Zombie Life,6.1192265,5.51737
Perplexus Rookie,6.075284,5.56402
Giftbringer,5.999033,5.52262
Sssnake: Flip&Write,6.3175917,5.51026
Star Wars: Rescue on Geonosis,5.9935284,5.47664
Pigasus,6.146922,5.54416
Wild Gardens,7.353103,5.62107
Book of Dragons,6.74934,5.50904
The Prestel New York Architecture Game,6.090904,5.51315
CLUE: Dungeons & Dragons,6.052208,5.50837
Quits,5.9893055,5.516
The Great Patriotic War: Nazi Germany vs. the Soviet Union,6.963446,5.51435
CubiCup,6.132192,5.51006
Wild Kratts Race Around the World,5.9750004,5.45384
"Mine, All Mine!",6.1683297,5.51266
O Jogo da Enciclopédia,6.125511,5.50846
Tough Calls: Dystopia,6.814538,5.58683
Detective Rummy,6.1853323,5.49175
Prince of Chaos: Battle for Tae Orn,6.2866163,5.52258
Puerto Diablo,6.797515,5.51684
I Spy Memory Game,5.9794855,5.47624
The Secret Flower,6.5077553,5.5231
Legions of Steel,7.078265,5.58049
Science Ninjas: Valence,6.0599084,5.52456
Magic: The Gathering – Duel Decks: Elspeth vs. Kiora,6.0403605,5.53324
Yōkai Quest,6.7407207,5.51275
Garbage,6.04329,5.46847
Summit,6.86252,5.51176
Farsight,6.8599863,5.51692
Electro,5.999808,5.46523
Tatort Meer Fall 1: Die Vogelinsel,7.064345,5.55771
Gigi Gnomo,6.0127068,5.51269
Odd Shop,6.3629713,5.52307
Widower's Wood: An Iron Kingdoms Adventure Board Game,6.827574,5.56488
Noggin,6.125462,5.5373
Paul Koenig's Market Garden: Nijmegen Bridge,6.281771,5.53272
Mission Control: Critical Orbit,6.7466984,5.57486
The Baton Races of Yaz,6.14118,5.49944
Snarf Quest,6.3150477,5.49397
Brexit: The Real Deal,6.382946,5.46921
Doktor Igel,6.054879,5.5034
Nieuport 1600,6.4804373,5.53157
Kingdom Hearts TCG,6.0899305,5.50338
Deluxe Camping,6.0607553,5.53077
Mighty Warriors,6.058961,5.49758
Kreta 1941,6.740385,5.50824
Numbers Up,6.005494,5.49056
Redcliff Bay Mysteries,6.961754,5.54953
Battle Spirits: Trading Card Game,6.153059,5.51923
How to Host a Murder: The Watersdown Affair,6.523457,5.5274
Gates of Mara,6.772691,5.55585
The Longest Trench,6.4093447,5.54385
Lino,6.078708,5.5496
Agricola Express,6.2296033,5.53095
Ultimate Werewolf: Extreme,6.645689,5.63146
The War of the Worlds: England,6.858822,5.59154
Wonky: The Unstable Adult Party Game,6.0843396,5.52025
Button Soccer,6.6917,5.55678
Owly Tribe,6.42317,5.51041
Kookaburra Game,5.9730554,5.49418
Urban Panic,6.6368294,5.50515
MOD X,6.124815,5.54545
Irány a Kincses Sziget!,6.213914,5.50697
Jeopardy! Simpsons Edition,6.10139,5.4822
"Warhammer 40,000: First Strike",6.3659406,5.545
Ochs & Esel,6.170682,5.52762
Artifact,7.164508,5.50753
Turtle Splash!,6.218404,5.57161
Hepta,6.1132007,5.49899
Petri Dish,6.02962,5.51698
Pencil Park,6.6153517,5.53913
Trainsport: Switzerland,6.632006,5.51336
Banquet Royal,6.0671864,5.5102
Gatenkaas,5.9760404,5.50515
The Treasure of Montecristo Island,6.2032223,5.50919
Unconditional Surrender,6.8428063,5.49736
Ruweisat Ridge: The First Battle of El Alamein,6.3057327,5.52194
Chutes Away!!!!!,6.301235,5.49879
Floral,6.7457657,5.52626
Magic: The Gathering – Game Night,6.420947,5.57761
Googly Eyes,5.9972973,5.4493
Construction Zone,6.1024494,5.52224
Pipeline: The Oil Game,6.1888313,5.48901
Dragon Whisperer,6.1981287,5.49211
Big Brother: The Game,5.9804287,5.43686
Draw Out,6.0065246,5.47471
Monopoly Town,5.9737215,5.47725
Creepy Freaks,5.9830885,5.4717
Luftschiff,7.0064826,5.55631
Terminator Genisys: The Miniatures Game – The War Against The Machine,6.0734024,5.56669
The Moscow Option: Guderian's Gambit,6.1244526,5.50903
Age of Soccer,6.6303644,5.49004
Tuppfehler,6.223473,5.53503
Reverse Charades Junior Edition,6.0925508,5.52604
Vira,6.30093,5.52395
"Trust Me, I'm a Doctor",6.126809,5.4883
Rainbow 35,6.10322,5.50237
Desolated: Duel,6.649809,5.49731
Code Breaker,6.541393,5.50121
Zampa La Granja,6.0464582,5.52032
Aztack,6.3032827,5.50834
Teraforming,6.7933965,5.48518
Texas Zombies,6.316372,5.50136
Visby,6.5608063,5.53963
Search & Destroy: Tactical Combat Vietnam – 1965-1966,7.362721,5.53531
Rock Paper Scissors,6.0126505,5.43849
DUOS,6.5703797,5.55711
Dragon's Cave,6.043597,5.55877
Legitimacy,5.975086,5.49123
Monopoly: Klingon Edition,6.003991,5.50146
Schweine-Würfeln,6.0042977,5.48182
Rum Rebellion,6.081108,5.48531
Veleno,6.073761,5.54261
Bank Heist,6.8254633,5.54821
Witchcraft: Moonlight Magic,6.439966,5.52787
Ninja vs Robot,6.3629675,5.49382
Borodino '41,6.216835,5.51887
Les deux Bretagne: La guerre de succession 1341-1364,6.2402654,5.53387
Terra Pyramides,6.9946527,5.59882
Zorro,6.1719327,5.48712
Moeraki: Kemu,6.20477,5.5642
Counting Zzzzs,6.000704,5.50372
Keops,6.8205175,5.55735
Cirondo,6.091546,5.50124
All Hands On Deck,6.0274878,5.49317
Pyramid: Home Game,6.045487,5.53322
Nichtlustig: Noch mehr Labor Chaos,6.0152254,5.5164
Backwoods,6.847515,5.53107
Annihilator / OneWorld,6.4247932,5.4713
Legacy of Thracks: The Awakening,7.419544,5.51825
Baronda,6.5008736,5.53845
Rummy Rumble,6.09365,5.48586
GOPS,6.0769935,5.51268
The Last Starfighter Combat Game,6.8941307,5.50654
Crusoe's Planet,6.761154,5.53016
Firefly: Fistful of Credits,6.104473,5.49083
Free at Last,6.8699555,5.47592
Die Schule der magischen Tiere: Nicht zu fassen!,6.2998953,5.49818
Casanova,6.2072325,5.47544
POWERUP,6.9358373,5.53589
Scurvy Dice,6.002487,5.51973
DETHRONED: The Real-Time Combat Card Game,6.6743584,5.52492
KIPP X,6.3079967,5.55216
Tower Up,6.52637,5.5975
Cookie Fu,6.401071,5.5069
Rubik's Illusion,6.1109695,5.51709
King Toad,6.024947,5.47563
Bloody 110,7.128518,5.55084
Cartooner: The Fast & Furious Game of Drawing Comics,6.056658,5.52354
Ogre Miniatures,7.004831,5.59651
"The First Afghan War, 1839-42",6.910565,5.52019
Slasher: The Final Cut,6.115776,5.50408
Imperial Stars II,6.5581856,5.5905
Suleiman the Magnificent,6.704192,5.53945
Too Many Cooks,6.1014605,5.50194
Samurai Vassal,6.2506685,5.5259
Absolute Victory: World Conflict 1939-1945,7.323199,5.58274
Bamboozle,6.0900993,5.49023
Hero: Tales of the Tomes,6.788625,5.53662
Dogs Alone,5.9851356,5.54263
Khyber Rifles,7.296903,5.49492
"Tahiti:  Clan Warfare, Polynesia 750 AD",6.758295,5.51166
Greedy Dragons,6.4934654,5.5237
Final War,6.162328,5.50975
Austin Powers CCG,6.102749,5.46347
Forgotten Axis: The Romanian Campaign,6.294098,5.49636
Autumn of Glory,6.023562,5.52672
Waterloo: The Last Great Battle,6.571683,5.51472
Götterdämmerung,6.730112,5.52684
Paul Koenig's The Bulge: 6th Panzer Army,6.322005,5.54327
Super Race,6.0376787,5.5127
Drag Strip!,6.0326147,5.46052
City States of Arklyrell,6.5243196,5.49782
Empires at War,6.9384313,5.50167
NFL Game Day,7.0182843,5.49495
Affinity,6.2648125,5.53632
KAWA: A Game About Flow,6.9974794,5.50739
Tumbleweed,6.9690914,5.56453
