Name,PredLasso,PredRF,PredKNN,PredSVM,OldRating,AvgPred
Auf der Walz,6.823854883582603,7.317497103215676,6.1925419999999995,6.64750113843689,5.53297,6.745348781308793
Yummy Yummy Pancake,5.993176606101044,6.402473720000009,6.313154,6.004569097942188,5.48779,6.17834335601081
Clusterfight!,5.946700800537705,6.148422420000007,6.049622000000001,6.046600473729933,5.52187,6.0478364235669115
Rhett & Link's We're Still Good Game,5.8491480187084095,6.856284679999998,5.9621580000000005,6.63240587997353,5.50238,6.3249991446704845
Imperial Tide: The Great War 1914-1918,6.925670873914967,7.125972901384611,6.537052,7.09462117302404,5.60447,6.920829237080904
Geared: Build Your Bike,6.372163777862601,6.415114189523822,6.643040000000001,6.505357515311637,5.49699,6.483918870674515
Rescue Polar Bears,6.871495785621373,7.084246686880342,6.3019300000000005,6.950114719631759,5.5655,6.801946798033369
Leuthen: Frederick's Greatest Victory,7.413473496868741,7.36030966,6.466162,7.120146993636548,5.6033,7.090023037626323
Castle Dash,6.54627295818022,6.481544103131874,6.3940660000000005,6.308166507309088,5.49517,6.432512392155296
Zombie Life,6.257854111698039,6.414169860000003,6.323952,6.15316275778642,5.51737,6.287284682371116
Perplexus Rookie,6.44625097601443,6.47218780714286,6.109876000000002,6.2409618913595715,5.56402,6.317319168629216
Giftbringer,6.4381269082527,7.095352440000002,6.52381,6.475545981546698,5.52262,6.63320883244985
Sssnake: Flip&Write,6.493853976090062,6.6900437800000025,6.376186000000001,6.916241869828758,5.51026,6.619081406479706
Star Wars: Rescue on Geonosis,6.283027015465704,6.319969644523802,6.071322,6.149361706934009,5.47664,6.205920091730879
Pigasus,6.195585178749372,6.340474100000005,6.4398979999999995,6.37950744436126,5.54416,6.338866180777659
Wild Gardens,7.802215251463865,7.21475854266667,6.584721999999999,7.4432447714828935,5.62107,7.261235141403358
Book of Dragons,6.559411318157214,6.810428439999988,6.3727339999999995,6.926365137142893,5.50904,6.667234723825024
